aphiaID,scientificName,n_events
969455,Coscinodiscus lacustris var. pelagica,18
110216,Protoperidinium denticulatum,17
144442,Bonnemaisonia hamifera,17
149038,Leptocylindrus,17
249731,Pavlova,17
418624,Diatoma vulgaris,17
624065,Halamphora coffeaeformis,17
109717,Actiniscus pentasterias,16
109920,Kofoidinium velleloides,16
149170,Triceratium favus,16
162741,Pseudokephyrion,16
172469,Pteromonas,16
178609,Lagerheimia,16
571999,Chrysolykos,16
624607,Archaeperidinium minutum,16
106292,Chroomonas baltica,15
109492,Woloszynskia,15
109923,Spatulodinium pseudonoctiluca,15
110229,Protoperidinium leonis,15
249689,Chromulina,15
366598,Geitlerinema,15
451665,Komma caudata,15
657648,Nodularia baltica,15
109925,Pentapharsodinium dalei,14
134532,Mantoniella,14
149165,Rhizosolenia shrubsolei,14
160568,Coelomoron,14
975336,Guinardia blavyana var. blavyana,14
109542,Oblea,13
148990,Cocconeis placentula,13
163990,Diatoma constricta,13
178207,Chaetoceros neogracilis,13
178438,Calothrix pulvinata,13
370000,Pedinomonas,13
840472,Willea rectangularis,13
961745,Chaetoceros anglicus,13
110149,Glenodinium paululum,12
144287,Ulothrix,12
148947,Actinoptychus,12
149066,Rhaphoneis amphiceros,12
149630,Stephanopyxis,12
164110,Bacteriastrum furcatum,12
175582,Phaeodactylum,12
177158,Merismopedia elegans,12
180410,Mastogloia smithii var. smithii,12
577723,Oedogonium,12
608602,Oocystis naegelii,12
106297,Cryptomonas baltica,11
149140,Amphiprora,11
149148,Bacillaria,11
156586,Pleurosigma strigosum,11
233857,Oxytoxum criophilum,11
246832,Tetraspora,11
572042,Gyromitus,11
985653,Triceratium alternans f. alternans,11
109571,Pyrocystis,10
109627,Dinophysis hastata,10
109777,Gymnodinium abbreviatum,10
143947,Coccomyxa,10
149061,Hyalodiscus,10
149306,Bellerochea malleus,10
149444,Navicula rhynchocephala,10
160564,Prymnesium parvum,10
163489,Ankistrodesmus,10
177428,Pannus spumosus,10
231788,Karenia,10
232161,Dinophysis arctica,10
